procedure_name,icd10_code,specialty,procedure_category,base_cost_inr
Acute Kidney Injury Management,N17.9,Nephrology,EMERGENCY,132000
Renal Transplant,Z94.0,Nephrology,SURGERY,895000
Nephrotic Syndrome Management,N04.9,Nephrology,THERAPY,86000
Normal Vaginal Delivery,O80,Obstetrics and Gynaecology,SURGERY,55000
Lower Segment Caesarean Section,O82,Obstetrics and Gynaecology,SURGERY,118000
Total Abdominal Hysterectomy,N85.9,Obstetrics and Gynaecology,SURGERY,165000
Antenatal Care Visit,Z34.90,Obstetrics and Gynaecology,CONSULTATION,900
Laparoscopic Ovarian Cystectomy,N83.209,Obstetrics and Gynaecology,SURGERY,98000
Dilatation and Curettage,N85.00,Obstetrics and Gynaecology,SURGERY,38000
Preeclampsia Management,O14.90,Obstetrics and Gynaecology,EMERGENCY,145000
Infertility Evaluation,N97.9,Obstetrics and Gynaecology,DIAGNOSTIC,16000
Functional Endoscopic Sinus Surgery,J32.9,ENT,SURGERY,92000
Tonsillectomy,J35.01,ENT,SURGERY,58000
Tympanoplasty,H66.90,ENT,SURGERY,74000
Pure Tone Audiometry,H91.90,ENT,DIAGNOSTIC,2200
Septoplasty,J34.2,ENT,SURGERY,68000
Chronic Otitis Media Consultation,H66.3X9,ENT,CONSULTATION,1000
Phacoemulsification with IOL,H25.9,Ophthalmology,SURGERY,48000
Vitrectomy,H43.9,Ophthalmology,SURGERY,125000
Diabetic Retinopathy Laser,E11.319,Ophthalmology,THERAPY,18000
Glaucoma Trabeculectomy,H40.9,Ophthalmology,SURGERY,72000
Refraction and Vision Assessment,H52.4,Ophthalmology,CONSULTATION,700
Intravitreal Anti VEGF Injection,H35.32,Ophthalmology,THERAPY,32000
Psoriasis Management,L40.9,Dermatology,THERAPY,18000
Atopic Dermatitis Consultation,L20.9,Dermatology,CONSULTATION,900
Cellulitis Management,L03.90,Dermatology,THERAPY,34000
Skin Biopsy,L98.9,Dermatology,DIAGNOSTIC,4500
Transurethral Resection of Prostate,N40.1,Urology,SURGERY,142000
Percutaneous Nephrolithotomy,N20.0,Urology,SURGERY,158000
Ureteroscopy with Stone Removal,N20.1,Urology,SURGERY,96000
Urinary Tract Infection Management,N39.0,Urology,THERAPY,22000
Cystoscopy,N32.9,Urology,DIAGNOSTIC,14000
Major Depressive Disorder Management,F33.9,Psychiatry,THERAPY,26000
Schizophrenia Management,F20.9,Psychiatry,THERAPY,72000
Anxiety Disorder Consultation,F41.9,Psychiatry,CONSULTATION,1500
Alcohol Withdrawal Management,F10.239,Psychiatry,THERAPY,48000
Type 2 Diabetes Mellitus Management,E11.9,General Medicine,THERAPY,24000
Diabetic Ketoacidosis Management,E11.10,General Medicine,EMERGENCY,118000
Dengue Fever Management,A90,General Medicine,THERAPY,42000
Enteric Fever Management,A01.00,General Medicine,THERAPY,36000
Malaria Management,B54,General Medicine,THERAPY,28000
Anaemia Evaluation,D64.9,General Medicine,DIAGNOSTIC,5500
Hypothyroidism Management,E03.9,General Medicine,CONSULTATION,1100
General Health Checkup,Z00.00,General Medicine,CONSULTATION,3500
Sepsis Management,A41.9,General Medicine,EMERGENCY,285000
COVID 19 Pneumonia Management,U07.1,General Medicine,THERAPY,155000
Open Appendicectomy,K35.80,General Surgery,SURGERY,72000
Laparoscopic Appendicectomy,K35.80,General Surgery,SURGERY,95000
Inguinal Hernia Repair,K40.90,General Surgery,SURGERY,88000
Umbilical Hernia Repair,K42.9,General Surgery,SURGERY,74000
Thyroidectomy,E04.9,General Surgery,SURGERY,148000
Breast Lump Excision,N63.0,General Surgery,SURGERY,52000
Wound Debridement,T81.4XXA,General Surgery,SURGERY,32000
Road Traffic Accident Polytrauma,T07,Emergency,EMERGENCY,325000
Acute Poisoning Management,T65.91XA,Emergency,EMERGENCY,88000
Anaphylaxis Management,T78.2XXA,Emergency,EMERGENCY,42000
Burns Management,T30.0,Emergency,EMERGENCY,195000
Snake Bite Envenomation,T63.001A,Emergency,EMERGENCY,112000
